,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2010-01-02,35,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,7
0,2010-01-04,6,1,3,3,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,4,1,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-06,14,1,5,4,4,4,4,4,4,6,5,4,6,1,7,,,,,,,,,,,,,,,,,,,,,
0,2010-01-07,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-08,4,1,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-09,5,1,1,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,5,1,1,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-12,7,1,5,4,6,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-13,5,1,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
