
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

begin user  725
step: 0  loss: 2.20841217
step: 100  loss: 0.69885826
step: 200  loss: 0.01886083
step: 300  loss: 0.00365098
step: 400  loss: 0.00184252
step: 500  loss: 0.00120014
user 725  trained.  loss: 0.00120014
Testing...
[725] DAY 2010-01-02 : 0.47059490 => (ans,pred) False:False]
[725] DAY 2010-01-03 : 0.00052981 => (ans,pred) False:False]
[725] DAY 2010-01-04 : 0.00048820 => (ans,pred) False:False]
[725] DAY 2010-01-05 : 0.00051921 => (ans,pred) False:False]
[725] DAY 2010-01-06 : 0.00047513 => (ans,pred) False:False]
[725] DAY 2010-01-07 : 0.21837276 => (ans,pred) False:False]
[725] DAY 2010-01-08 : 0.00037608 => (ans,pred) False:False]
[725] DAY 2010-01-09 : 0.00057877 => (ans,pred) False:False]
[725] DAY 2010-01-10 : 0.21865197 => (ans,pred) False:False]
[725] DAY 2010-01-11 : 0.00051503 => (ans,pred) False:False]
[725] DAY 2010-01-12 : 0.00050694 => (ans,pred) False:False]
[725] DAY 2010-01-13 : 0.47120978 => (ans,pred) False:False]
[725] DAY 2010-01-14 : 0.00044802 => (ans,pred) False:False]
[725] DAY 2010-01-15 : 0.00050547 => (ans,pred) False:False]
[725] DAY 2010-01-16 : 0.00051188 => (ans,pred) False:False]
[725] DAY 2010-01-18 : 0.00034966 => (ans,pred) False:False]
[725] DAY 2010-01-19 : 0.00037497 => (ans,pred) False:False]
[725] DAY 2010-01-20 : 0.00049675 => (ans,pred) False:False]
[725] DAY 2010-01-21 : 0.89622414 => (ans,pred) False:False]
[725] DAY 2010-01-22 : 0.00056858 => (ans,pred) False:False]
[725] DAY 2010-01-23 : 0.21854923 => (ans,pred) False:False]
[725] DAY 2010-01-24 : 0.00040806 => (ans,pred) False:False]
[725] DAY 2010-01-25 : 0.00051363 => (ans,pred) False:False]
[725] DAY 2010-01-26 : 0.00042385 => (ans,pred) False:False]
[725] DAY 2010-01-27 : 0.00048359 => (ans,pred) False:False]
[725] DAY 2010-01-28 : 0.21830380 => (ans,pred) False:False]
[725] DAY 2010-01-29 : 0.00044979 => (ans,pred) False:False]
[725] DAY 2010-01-31 : 0.00046548 => (ans,pred) False:False]
[725] DAY 2010-02-01 : 0.00053957 => (ans,pred) False:False]
[725] DAY 2010-02-02 : 0.00053069 => (ans,pred) False:False]
[725] DAY 2010-02-03 : 0.00025406 => (ans,pred) False:False]
[725] DAY 2010-02-04 : 0.42609125 => (ans,pred) False:False]
[725] DAY 2010-02-05 : 0.21864496 => (ans,pred) False:False]
[725] DAY 2010-02-07 : 0.00077742 => (ans,pred) False:False]
[725] DAY 2010-02-08 : 0.00058213 => (ans,pred) False:False]
[725] DAY 2010-02-09 : 0.00061146 => (ans,pred) False:False]
[725] DAY 2010-02-10 : 0.00033932 => (ans,pred) False:False]
[725] DAY 2010-02-11 : 0.00125659 => (ans,pred) False:False]
[725] DAY 2010-02-12 : 0.00066787 => (ans,pred) False:False]
[725] DAY 2010-02-13 : 0.00064500 => (ans,pred) False:False]
[725] DAY 2010-02-14 : 0.00066444 => (ans,pred) False:False]
[725] DAY 2010-02-15 : 0.00044248 => (ans,pred) False:False]
[725] DAY 2010-02-16 : 0.00068926 => (ans,pred) False:False]
[725] DAY 2010-02-17 : 0.00029217 => (ans,pred) False:False]
[725] DAY 2010-02-18 : 0.65340557 => (ans,pred) False:False]
[725] DAY 2010-02-19 : 0.00084101 => (ans,pred) False:False]
[725] DAY 2010-02-20 : 0.00043862 => (ans,pred) False:False]
[725] DAY 2010-02-21 : 0.00070332 => (ans,pred) False:False]
[725] DAY 2010-02-22 : 0.00063254 => (ans,pred) False:False]
[725] DAY 2010-02-23 : 0.00049373 => (ans,pred) False:False]
[725] DAY 2010-02-24 : 0.00052429 => (ans,pred) False:False]
[725] DAY 2010-02-25 : 0.00038282 => (ans,pred) False:False]
[725] DAY 2010-02-26 : 0.00050838 => (ans,pred) False:False]
[725] DAY 2010-02-27 : 0.00025697 => (ans,pred) False:False]
[725] DAY 2010-02-28 : 0.00087687 => (ans,pred) False:False]
